"Cycle_Index","Discharge_Capacity (Ah)"
"1262","0.984"
"1263","0.983"
"1264","0.983"
"1265","0.983"
"1266","0.983"
"1267","0.983"
"1268","0.983"
"1269","0.983"
"1270","0.982"
"1272","0.982"
"1273","0.982"
"1274","0.982"
"1277","0.982"
"1278","0.982"
"1279","0.982"
"1280","0.981"
"1281","0.981"
"1283","0.981"
"1284","0.981"
"1285","0.981"
"1286","0.981"
"1287","0.981"
"1288","0.981"
"1289","0.981"
"1290","0.98"
"1291","0.98"
"1292","0.98"
"1293","0.98"
"1295","0.98"
"1296","0.98"
"1297","0.98"
"1298","0.98"
"1299","0.98"
"1300","0.98"
"1301","0.979"
"1302","0.979"
"1303","0.979"
"1304","0.979"
"1305","0.979"
"1306","0.979"
"1307","0.979"
"1308","0.979"
"1309","0.979"
"1311","0.979"
"1312","0.978"
"1313","0.979"
"1314","0.978"
"1315","0.978"
"1316","0.978"
"1317","0.978"
"1318","0.978"
"1319","0.978"
"1320","0.978"
"1321","0.978"
"1322","0.978"
"1323","0.978"
"1324","0.977"
"1325","0.977"
"1326","0.977"
"1327","0.977"
"1329","0.977"
"1331","0.977"
"1332","0.977"
"1333","0.977"
"1334","0.977"
"1335","0.977"
"1336","0.977"
"1337","0.977"
"1338","0.976"
"1340","0.976"
"1341","0.976"
"1342","0.976"
"1343","0.976"
"1344","0.976"
"1345","0.976"
"1346","0.976"
"1347","0.976"
"1348","0.976"
"1349","0.976"
"1350","0.975"
"1351","0.975"
"1352","0.975"
"1353","0.975"
"1354","0.975"
"1355","0.975"
"1356","0.975"
"1357","0.975"
"1358","0.975"
"1359","0.975"
"1361","0.975"
"1363","0.974"
"1364","0.974"
"1365","0.974"
"1366","0.974"
"1367","0.974"
"1368","0.974"
"1371","0.974"
"1372","0.974"
"1373","0.974"
"1374","0.974"
"1375","0.974"
"1376","0.974"
"1377","0.973"
"1378","0.973"
"1380","0.973"
"1381","0.973"
"1382","0.973"
"1383","0.973"
"1384","0.973"
"1385","0.973"
"1387","0.973"
"1388","0.973"
"1389","0.973"
"1390","0.973"
"1391","0.973"
"1392","0.972"
"1393","0.972"
"1394","0.972"
"1395","0.972"
"1396","0.972"
"1397","0.972"
"1398","0.972"
"1400","0.972"
"1401","0.972"
"1402","0.972"
"1403","0.972"
"1404","0.972"
"1405","0.972"
"1406","0.971"
"1407","0.971"
"1408","0.971"
"1409","0.971"
"1410","0.971"
"1412","0.971"
"1413","0.971"
"1414","0.971"
"1415","0.971"
"1416","0.971"
"1417","0.971"
"1418","0.971"
"1419","0.97"
"1420","0.971"
"1421","0.971"
"1422","0.971"
"1423","0.971"
"1424","0.97"
"1425","0.97"
"1426","0.97"
"1427","0.97"
"1428","0.97"
"1429","0.97"
"1430","0.97"
"1431","0.97"
"1433","0.97"
"1434","0.97"
"1435","0.97"
"1436","0.969"
"1437","0.969"
"1438","0.969"
"1439","0.969"
"1440","0.969"
"1441","0.969"
"1442","0.969"
"1443","0.969"
"1444","0.969"
"1446","0.969"
"1447","0.969"
"1448","0.969"
"1449","0.968"
"1450","0.968"
"1451","0.968"
"1452","0.968"
"1453","0.968"
"1454","0.968"
"1456","0.968"
